iter	Passed	Remaining
628	1754	1034
629	1756	1031
630	1759	1028
631	1761	1025
632	1764	1022
633	1766	1019
634	1768	1016
635	1771	1013
636	1773	1010
637	1776	1007
638	1778	1004
639	1780	1001
640	1783	998
641	1785	995
642	1788	992
643	1790	989
644	1793	986
645	1795	984
646	1798	981
647	1801	978
648	1803	975
649	1806	972
650	1808	969
651	1810	966
652	1813	963
653	1815	960
654	1818	957
655	1820	954
656	1823	952
657	1826	949
658	1829	946
659	1834	944
660	1837	942
661	1842	940
662	1845	938
663	1848	935
664	1851	932
665	1853	929
666	1856	927
667	1859	924
668	1862	921
669	1865	918
670	1867	915
671	1870	913
672	1873	910
673	1876	907
674	1879	904
675	1882	902
676	1884	899
677	1887	896
678	1889	893
679	1892	890
680	1895	887
681	1898	885
682	1901	882
683	1903	879
684	1906	876
685	1908	873
686	1911	870
687	1914	868
688	1917	865
689	1919	862
690	1930	863
691	1933	860
692	1936	858
693	1939	855
694	1942	852
695	1945	849
696	1947	846
697	1950	843
698	1952	840
699	1954	837
700	1957	834
701	1960	832
702	1962	829
703	1965	826
704	1968	823
705	1970	820
706	1972	817
707	1975	814
708	1978	811
709	1980	808
710	1982	806
711	1985	803
712	1987	800
713	1990	797
714	1992	794
715	1995	791
716	1997	788
717	2000	785
718	2002	782
719	2005	779
720	2007	776
721	2010	773
722	2012	771
723	2014	768
724	2017	765
725	2019	762
726	2022	759
727	2025	756
728	2027	753
729	2029	750
730	2032	747
731	2034	744
732	2037	742
733	2039	739
734	2042	736
735	2044	733
736	2047	730
737	2049	727
738	2051	724
739	2054	721
740	2056	718
741	2059	716
742	2062	713
743	2065	710
744	2071	709
745	2077	707
746	2084	705
747	2097	706
748	2108	706
749	2112	704
750	2115	701
751	2121	699
752	2129	698
753	2133	696
754	2137	693
755	2139	690
756	2143	688
757	2146	685
758	2150	682
759	2154	680
760	2159	678
761	2164	675
762	2167	673
763	2169	670
764	2172	667
765	2174	664
766	2177	661
767	2180	658
768	2183	655
769	2185	652
770	2188	650
771	2190	647
772	2193	644
773	2196	641
774	2199	638
775	2201	635
776	2204	632
777	2206	629
778	2209	626
779	2211	623
780	2214	620
781	2217	618
782	2219	615
783	2222	612
784	2224	609
785	2226	606
786	2229	603
787	2232	600
788	2234	597
789	2237	594
790	2240	591
791	2242	589
792	2245	586
793	2248	583
794	2250	580
795	2253	577
796	2255	574
797	2258	571
798	2261	568
799	2263	565
800	2266	563
801	2268	560
802	2271	557
803	2274	554
804	2277	551
805	2279	548
806	2282	545
807	2285	543
808	2287	540
809	2290	537
810	2293	534
811	2295	531
812	2298	528
813	2300	525
814	2303	522
815	2305	519
816	2308	517
817	2311	514
818	2313	511
819	2316	508
820	2318	505
821	2321	502
822	2323	499
823	2326	496
824	2329	494
825	2331	491
826	2334	488
827	2337	485
828	2340	482
829	2342	479
830	2345	476
831	2348	474
832	2350	471
833	2353	468
834	2356	465
835	2358	462
836	2361	459
837	2364	457
838	2366	454
839	2369	451
840	2371	448
841	2374	445
842	2376	442
843	2379	439
844	2382	436
845	2384	434
846	2387	431
847	2390	428
848	2392	425
849	2395	422
850	2398	419
851	2400	416
852	2403	414
853	2405	411
854	2408	408
855	2411	405
856	2413	402
857	2416	399
858	2419	397
859	2421	394
860	2424	391
861	2426	388
862	2428	385
863	2431	382
864	2434	379
865	2436	377
866	2439	374
867	2442	371
868	2444	368
869	2447	365
870	2449	362
871	2452	360
872	2455	357
873	2457	354
874	2459	351
875	2462	348
876	2464	345
877	2467	342
878	2469	339
879	2471	337
880	2474	334
881	2476	331
882	2479	328
883	2481	325
884	2484	322
885	2486	319
886	2489	317
887	2491	314
888	2493	311
889	2496	308
890	2498	305
891	2501	302
892	2503	299
893	2506	297
894	2508	294
895	2511	291
896	2513	288
897	2516	285
898	2518	282
899	2521	280
900	2523	277
901	2525	274
902	2528	271
903	2530	268
904	2533	265
905	2535	263
906	2538	260
907	2540	257
908	2542	254
909	2545	251
910	2547	248
911	2550	246
912	2552	243
913	2554	240
914	2557	237
915	2559	234
916	2562	231
917	2564	229
918	2567	226
919	2569	223
920	2572	220
921	2574	217
922	2576	214
923	2579	212
924	2581	209
925	2584	206
926	2586	203
927	2588	200
928	2591	198
929	2594	195
930	2596	192
931	2599	189
932	2601	186
933	2604	184
934	2606	181
935	2608	178
936	2611	175
937	2613	172
938	2615	169
939	2618	167
940	2620	164
941	2625	161
942	2629	158
943	2631	156
944	2634	153
945	2636	150
946	2639	147
947	2641	144
948	2644	142
949	2646	139
950	2649	136
951	2651	133
952	2653	130
953	2656	128
954	2658	125
955	2661	122
956	2663	119
957	2666	116
958	2668	114
959	2671	111
960	2673	108
961	2676	105
962	2678	102
963	2681	100
964	2683	97
965	2686	94
966	2688	91
967	2691	88
968	2693	86
969	2696	83
970	2698	80
971	2700	77
972	2703	75
973	2705	72
974	2708	69
975	2710	66
976	2713	63
977	2715	61
978	2718	58
979	2720	55
980	2723	52
981	2725	49
982	2728	47
983	2730	44
984	2733	41
985	2735	38
986	2738	36
987	2740	33
988	2743	30
989	2745	27
990	2748	24
991	2750	22
992	2753	19
993	2756	16
994	2758	13
995	2761	11
996	2763	8
997	2765	5
998	2768	2
999	2771	0
